SCHOOLNAME,SCHOOLCODE,YEAR,LEVEL,TYPE,WARD,LAT,LON,FORTYFORTY,ENROLLMENT,ATRISKENROLLMENT,ENROLLMENT,SPECIALTY,PERPUPILMIN,STABILIZATION,SPED,ELL,ATRISK,INCOME
Savoy ES ,307,2016,es,Regular school,8,38.86285199,-76.99360426,TRUE,419,306,4227710,104750,5866,58241,791491,897498,2350998,320954
School Without Walls EC,466,2016,campus,Magnet School,2,38.89812412,-77.04818647,FALSE,904,143,6676944,989880,356176,1354192,1196896,1222208,1066923,1120960
School-Within-School @ Goding ,175,2016,es,Regular School,6,38.89756498,-76.99318304,FALSE,243,19,2205468,343116,412614,260253,881847,551853,135717,193914
Seaton ES ,309,2016,es,Regular school,6,38.9106187,-77.02488247,FALSE,278,143,2224278,400876,445078,317476,1124788,686104,1139138,131772
Sharpe Health School ,312,2016,campus,Special Education School,4,38.94347466,-77.03046833,FALSE,67,34,736665,21038,79060,99093,129846,72293,243508,46096
Shepherd ES ,313,2016,es,Regular school,4,38.98460328,-77.03399523,FALSE,321,49,3613497,235293,353421,602517,602196,326457,347557,372039
Simon ES ,315,2016,es,Regular school,8,38.83598054,-77.000195,TRUE,310,236,2438460,234980,128340,307210,801970,391840,1798792,84320
Smothers ES ,322,2016,es,Regular school,7,38.89355404,-76.93846864,TRUE,304,216,2387920,324672,507072,362976,377568,333488,1634688,316160
Sousa MS ,427,2016,ms,Regular school,7,38.88389441,-76.95315884,FALSE,281,199,3307932,461964,479667,472642,715426,426277,1483545,283810
Stanton ES ,319,2016,es,Regular school,8,38.85927211,-76.96849023,TRUE,607,504,7180810,979091,826127,862547,2790379,1368785,3895920,652525
Stoddert ES ,321,2016,es,Regular school,3,38.92304465,-77.0790738,FALSE,429,16,5085795,70785,705705,608751,1649076,562848,114976,71214
Stuart-Hobson MS ,428,2016,ms,Regular school,6,38.8962977,-77.00000438,FALSE,424,129,3968216,791608,228536,154336,1903336,268392,1000524,412976
Takoma EC ,324,2016,campus,Vocational Shared Time,4,38.97504287,-77.02279493,FALSE,458,213,4138030,64120,90684,8244,722266,158468,1698036,670970
Thomas ES ,325,2016,es,Regular school,7,38.90127897,-76.95211091,TRUE,435,324,3890205,103095,526785,569850,1442895,110925,2358072,187920
Thomson ES ,326,2016,es,Regular school,2,38.90349634,-77.02843003,FALSE,280,116,2271360,388920,514080,24080,478520,510160,880788,327040
Truesdell EC ,327,2016,campus,Regular school,4,38.95396869,-77.02507158,FALSE,483,257,3887184,172914,265167,638043,2073519,1013817,1874558,671853
Tubman ES ,328,2016,es,Regular school,1,38.92919857,-77.0294433,FALSE,527,332,5245231,626603,247690,740435,1647402,43214,2567024,122791
Turner ES ,329,2016,es,Regular school,8,38.84763644,-76.98031323,TRUE,426,332,3125562,762540,62196,118002,1742766,101388,2631100,228336
Tyler ES ,330,2016,es,Regular school,6,38.88108436,-76.99204166,TRUE,550,221,5915800,149050,68200,117150,1230900,41800,1763359,472450
Walker-Jones EC ,332,2016,campus,Regular school,6,38.90419198,-77.01391569,TRUE,461,331,5248024,287664,597456,223585,1705700,1142358,2547707,436567
Washington Met HS ,474,2016,hs,Regular school,1,38.92043047,-77.01558101,TRUE,304,,2333808,193344,130112,113696,977056,383344,0,196992
Watkins ES ,333,2016,es,Regular school,6,38.88346701,-76.98999677,FALSE,528,113,4912512,506352,660528,158400,653664,162624,871343,559152
West EC ,336,2016,campus,Regular school,4,38.95136741,-77.03225306,FALSE,273,93,2832375,357630,198744,148239,970515,244335,687270,387114
Wheatley EC ,335,2016,campus,Regular school,5,38.90411774,-76.98850077,TRUE,440,343,3310120,313280,272800,188760,1126840,535480,2545060,494120
Whittier EC ,338,2016,campus,Regular school,4,38.96585727,-77.0192386,FALSE,348,195,3308784,495552,401940,591600,1321008,513996,1398540,249168
Wilson HS ,463,2016,hs,Vocational Shared Time,3,38.95015672,-77.0777757,FALSE,1708,343,16863084,2505636,1540616,2447564,5257224,4188016,2416778,88816
"Woodson, H.D. HS ",464,2016,hs,Vocational Shared Time,7,38.89678662,-76.92232826,TRUE,729,499,7535673,1127034,13851,457083,1544022,666306,3961062,497178
Youth Services Center ,861,2016,campus,Alternative Education School,5,38.91213959,-76.98858584,FALSE,70,,720930,134820,20930,108990,117390,111510,0,104510
